Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,Cluster,GeneSet
prerank,HE_LIM_SUN_FETAL_LUNG_C2_CXCL9_POS_MACROPHAGE_CELL,-0.5557657977576843,-1.2985135871711322,0.0804597701149425,0.1264448267471327,1.0,34/119,14.88%,CCL19;TRAF1;CD40;MT2A;CD38;VCAM1;APOL3;SERPINB9;BIRC3;TBC1D2B;NLRC5;PRR5L;CAMK2D;FAS;STAMBPL1;KSR1;VAMP5;PTGIR;SLAMF7;RAPGEF2;CXCL9;FAM241A;PATL2;STEAP4;TNFRSF4;ARAP2;P2RY14;PIM1;GBP2;ISG20;TRAFD1;DRAM1;CD80;BATF,3,C8
prerank,LAKE_ADULT_KIDNEY_C14_DISTAL_CONVOLUTED_TUBULE,-0.5342429307103472,-1.2982991237530896,0.057471264367816,0.1263103574370068,1.0,65/190,16.43%,PIK3C2G;DST;ZNF385D;TACC1;ABCA10;SKAP1;RNPC3;DYNC2H1;BICC1;ERBB4;MAN1A1;RORA;ME3;ACSL4;MECOM;KLHL3;WDFY2;FREM1;RERE;RAD51B;EGF;DACH1;PDE10A;CDK14;ZNF518A;PTGER3;MSI2;ARHGAP6;WSB1;PCCA;SLC12A3;PARD3B;AHI1;COL4A3;PTPRG;CPEB4;SLC8A1;TRPM6;INPP4B;BCAS3;ITPR1;LRCH1;PKP4;DPH6;WWOX;NR3C2;SH3RF1;DCDC2;VWA8;BTBD9;PPARGC1A;MBD5;MTR;ABCA5;CACNA1D;TNRC6B;FHIT;CACNB4;CLASP1;RHOBTB3;SNX29;RABGAP1L;FMN1;PTH2R;CNNM2,3,C8
prerank,DESCARTES_FETAL_CEREBRUM_LIMBIC_SYSTEM_NEURONS,-0.655739281805932,-1.2978492485603088,0.1525423728813559,0.1263419976179905,1.0,2/22,1.95%,SYNPO2;HPSE2,3,C8
prerank,ZHONG_PFC_MAJOR_TYPES_OPC,-0.5616037349085466,-1.2969408463975605,0.1058823529411764,0.1268678445111707,1.0,21/89,12.66%,APOD;SPRY1;MMP2;EDNRB;SEMA5A;LIMA1;CST3;ANGPTL2;NOVA1;TSPAN7;CNTN1;DUSP6;CD63;SIRT2;PLPP3;SPRY4;PLAT;S100B;PTN;PDE4B;EPB41L2,3,C8
prerank,HE_LIM_SUN_FETAL_LUNG_C1_PULMONARY_NE_PRECURSOR_CELL,-0.5083125754296763,-1.2967605308881411,0.0112359550561797,0.1267607003481594,1.0,66/285,13.61%,LHFPL6;ANK2;DST;TIMP1;RUNX1T1;TMEM176A;NLRP1;FBXW7;CLDN5;TMEM176B;PDGFD;CHRD;FNBP1;BCL2;FAM13C;AKT3;SMOC2;INPP1;SCG2;PDZRN3;SOBP;FREM1;NAV1;ADAM28;ATP2A3;PSD;RASD1;PNPLA7;DACH1;STMN3;ROBO1;DLL4;BMERB1;EFHD2;RIC3;LFNG;CLIP3;TRMT9B;KCNMA1;JAM3;DENND4A;CEP126;DCX;CBFA2T3;NAAA;NBEA;NPDC1;DNAJC12;PCDH17;CACNA2D1;KCNT2;BAALC;REXO1;DMPK;GNB5;MAP1B;DPYSL3;SYT11;GAB2;TBX1;CADPS;MAP6;EPB41L4A;KCND3;RAPGEF4;ABCA5,3,C8
prerank,DESCARTES_FETAL_PLACENTA_MEGAKARYOCYTES,-0.5318282559932498,-1.2959269084847551,0.0459770114942528,0.1273094469039333,1.0,38/155,10.95%,MCTP1;TNIK;RIPOR3;PRKCB;SELP;THBS1;IPCEF1;MMRN1;LMO2;SNCA;RAB37;TMEM91;CD226;P2RX1;STON2;CAVIN2;TSPAN32;BIN2;PRELID2;EGF;FERMT3;PTGIR;BCL2L1;CENPT;DNM3;ARHGAP6;EHD3;TGFB1;CBFA2T3;PEAR1;STXBP5;NLK;ABCC4;SEC31B;MDM1;RASA3;ZNF431;KCNT2,3,C8
prerank,TRAVAGLINI_LUNG_CLUB_CELL,-0.5898690304611013,-1.294496681610007,0.1139240506329113,0.1285082105302644,1.0,20/54,10.60%,PTGS2;FAM20A;RNASE1;PIGR;GPRC5A;TIMP1;ARHGDIB;AREG;CST3;FCGR2A;SOCS2;TMSB4X;VIM;GDF15;SEL1L3;WSB1;AGR3;CRACR2B;NIBAN1;STEAP4,3,C8
prerank,DESCARTES_FETAL_SPLEEN_AFP_ALB_POSITIVE_CELLS,0.3918540351914912,1.289078296959549,0.0,0.1387089568907751,1.0,21/168,5.62%,DHCR24;LBP;PEG10;SERPINA3;SDC1;DHCR7;SLC38A3;AGT;PCBD1;SCD;PERP;AGPAT2;FN1;TMEM97;CYP51A1;MSRB1;PHYH;BHMT2;F12;GLDC;MGST1,3,C8
prerank,DESCARTES_FETAL_MUSCLE_LYMPHATIC_ENDOTHELIAL_CELLS,-0.574795109362676,-1.2888445093554235,0.1,0.1348292108091686,1.0,20/58,16.26%,CCL21;PIK3C2G;TFF3;KLHL3;FLT4;PPFIBP1;GJA1;PLIN5;P4HA3;RASSF9;TBX1;CYTL1;HAND2;RAPGEF4;KCTD17;IL7;KLKB1;STAB2;PROX1;KLHL14,3,C8
prerank,ZHENG_CORD_BLOOD_C1_PUTATIVE_MEGAKARYOCYTE_PROGENITOR,-0.5464475699605287,-1.288420911237973,0.0609756097560975,0.1347538321595096,1.0,27/94,10.10%,F13A1;CD36;SELP;THBS1;VWF;GRAP2;FYB1;LRRC32;EFNB2;FCGR2A;TMSB4X;MMRN1;ESAM;CAVIN2;CCL5;NID1;BIN2;FERMT3;PDE3A;PLEK;DNM3;ARHGAP6;CLU;PDLIM1;TESC;ABCC4;PDE5A,3,C8
prerank,AIZARANI_LIVER_C14_HEPATOCYTES_2,-0.5055873804365063,-1.2880996537078373,0.021505376344086,0.1347598363760278,1.0,34/208,11.06%,IGFBP4;GPX3;PLA2G2A;SERPINF1;TAT;CFH;TMEM176A;AZGP1;PRG4;TMEM176B;ALDH1A1;C1R;RBP5;MT2A;ADH1B;C3;HP;C1S;APOE;C2;CLU;C4BPB;SERPINF2;PON3;DPYS;CES1;RBP4;CRYL1;RARRES2;HPX;ABAT;HAAO;CYP2E1;GAMT,3,C8
prerank,HE_LIM_SUN_FETAL_LUNG_C3_DEFINITIVE_ERYTHROCYTE,-0.6906178228007095,-1.2871981809276745,0.1044776119402985,0.1351692956040786,1.0,3/25,7.19%,TENT5C;HBA2;HBB,3,C8
prerank,DESCARTES_FETAL_STOMACH_PDE1C_ACSM3_POSITIVE_CELLS,0.623306121477505,1.2870569128952205,0.1481481481481481,0.1392248681066058,1.0,3/22,0.61%,TFCP2L1;FOXI1;STAC2,3,C8
prerank,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_OLFACTORY_HORIZONTAL_BASAL_CELLS,0.6079118380459665,1.2870563393207728,0.0909090909090909,0.1380035973337408,1.0,6/18,5.49%,S100A2;KRT17;KRT5;KRT15;F3;AQP3,3,C8
prerank,AIZARANI_LIVER_C17_HEPATOCYTES_3,-0.5474702274928732,-1.2867341257507638,0.0952380952380952,0.1353081437830573,1.0,24/95,11.02%,SERPINE1;SERPINF1;TNFSF14;CFH;TMEM176A;AZGP1;TMEM176B;C1R;MT2A;ADH1B;C3;HP;ABCA1;C1S;APOE;CLU;SERPINF2;CES1;RBP4;RARRES2;PLIN5;HPX;CYP2E1;CES2,3,C8
prerank,FAN_OVARY_CL1_GPRC5A_TNFRS12A_HIGH_SELECTABLE_FOLLICLE_STROMAL_CELL,-0.507334356279618,-1.2835886064619422,0.010204081632653,0.1386016857882456,1.0,54/332,8.32%,FGF7;CCDC80;C7;PLTP;MFAP4;GEM;CFD;DCN;OGN;SERPINF1;LHFPL6;CPE;MMP2;GPRC5A;EMP1;CFH;NOP53;TIMP1;AKAP12;KDM6B;LAMA4;TMEM176B;C1R;FGFR1;COL1A1;EEF2;GPC3;TNFRSF1A;NBL1;XBP1;LTBP4;C1S;SLC38A2;DDX5;FILIP1L;CAV1;COL1A2;VIM;AEBP1;AXL;DSE;NXF1;ARID5B;CTSL;MAT2A;NFIA;CD63;PHLDA1;HNRNPDL;SAFB2;DIRAS3;SGK1;SERTAD1;COL6A2,3,C8
